#Q2	x	y	sigmar	total error	StatErr	Uncor	tot_noproc %
3.0000E02	4.0000E-01	7.4111E-03	1.5709E-01	0.006726499546	2.1716E00	3.2849E00	4.28194E00
4.0000E02	5.3000E-03	7.4577E-01	1.1528E00	0.03232428144	1.8538E00	1.8340E00	2.80398E00
4.0000E02	8.0000E-03	4.9407E-01	1.0323E00	0.01595749986	9.3169E-01	4.6640E-01	1.54582E00
4.0000E02	1.3000E-02	3.0404E-01	8.6568E-01	0.01284842256	9.3437E-01	5.4394E-01	1.48420E00
4.0000E02	2.0000E-02	1.9763E-01	7.1222E-01	0.01146745422	1.0096E00	7.1926E-01	1.61010E00
4.0000E02	3.2000E-02	1.2352E-01	6.0799E-01	0.009420014663	9.9053E-01	6.3256E-01	1.54937E00
4.0000E02	5.0000E-02	7.9051E-02	5.1927E-01	0.007989747855	9.9477E-01	5.7166E-01	1.53865E00
4.0000E02	8.0000E-02	4.9407E-02	4.3146E-01	0.006822979002	1.0816E00	5.4019E-01	1.58137E00
4.0000E02	1.3000E-01	3.0404E-02	3.6709E-01	0.006227424887	1.1433E00	6.1017E-01	1.69643E00
4.0000E02	1.8000E-01	2.1959E-02	3.2088E-01	0.010853188416	1.9386E00	2.4387E00	3.38232E00
4.0000E02	2.5000E-01	1.5810E-02	2.6418E-01	0.006469187004	1.8112E00	8.2269E-01	2.44878E00
4.0000E02	4.0000E-01	9.8814E-03	1.5657E-01	0.00673360599	2.5120E00	3.0012E00	4.30070E00
5.0000E02	6.6000E-03	7.4859E-01	1.0587E00	0.03076889223	2.0457E00	1.7880E00	2.90629E00
5.0000E02	8.0000E-03	6.1759E-01	1.0065E00	0.02496995655	2.0573E00	9.3475E-01	2.48087E00
5.0000E02	1.3000E-02	3.8005E-01	8.9862E-01	0.017857556364	1.4648E00	8.7898E-01	1.98722E00
5.0000E02	2.0000E-02	2.4704E-01	7.3144E-01	0.015264640792	1.4590E00	1.0735E00	2.08693E00
5.0000E02	3.2000E-02	1.5440E-01	6.2977E-01	0.013006576833	1.4887E00	9.9447E-01	2.06529E00
5.0000E02	5.0000E-02	9.8814E-02	5.5070E-01	0.0118615273	1.5707E00	1.0564E00	2.15390E00
5.0000E02	8.0000E-02	6.1759E-02	4.3243E-01	0.010057586669	1.7817E00	1.0556E00	2.32583E00
5.0000E02	1.3000E-01	3.8005E-02	3.7705E-01	0.009933570775	2.0566E00	1.2651E00	2.63455E00
5.0000E02	1.8000E-01	2.7448E-02	3.3842E-01	0.010253855264	2.2099E00	1.7635E00	3.02992E00
5.0000E02	2.5000E-01	1.9763E-02	2.6715E-01	0.010191532065	2.6061E00	2.4142E00	3.81491E00
5.0000E02	4.0000E-01	1.2352E-02	1.4869E-01	0.02868914074	1.4880E01	1.1983E01	1.92946E01
5.0000E02	6.5000E-01	7.6011E-03	2.7157E-02	0.005956833636	1.9179E01	1.0501E01	2.19348E01
6.5000E02	8.5000E-03	7.5564E-01	9.8713E-01	0.028322437821	2.1947E00	1.5391E00	2.86917E00
6.5000E02	1.3000E-02	4.9407E-01	9.0475E-01	0.013863393775	1.0494E00	3.9689E-01	1.53229E00
6.5000E02	2.0000E-02	3.2115E-01	7.7797E-01	0.012598523977	1.2008E00	4.2782E-01	1.61941E00
6.5000E02	3.2000E-02	2.0072E-01	6.2508E-01	0.011005721052	1.3218E00	5.5005E-01	1.76069E00
6.5000E02	5.0000E-02	1.2846E-01	5.3435E-01	0.009221651995	1.3135E00	5.2085E-01	1.72577E00
6.5000E02	8.0000E-02	8.0287E-02	4.3531E-01	0.008296616821	1.4526E00	7.0553E-01	1.90591E00
6.5000E02	1.3000E-01	4.9407E-02	3.6181E-01	0.007413993434	1.5936E00	7.7465E-01	2.04914E00
6.5000E02	1.8000E-01	3.5683E-02	3.3341E-01	0.010452536864	2.4872E00	1.5963E00	3.13504E00
6.5000E02	2.5000E-01	2.5692E-02	2.5646E-01	0.006344256188	1.8577E00	1.0026E00	2.47378E00
6.5000E02	4.0000E-01	1.6057E-02	1.2565E-01	0.007551276005	4.7515E00	3.3307E00	6.00977E00
8.0000E02	1.0500E-02	7.5287E-01	9.6275E-01	0.033120429225	2.7016E00	1.8689E00	3.44019E00
8.0000E02	1.3000E-02	6.0809E-01	8.8824E-01	0.016567274832	1.4539E00	3.6199E-01	1.86518E00
8.0000E02	2.0000E-02	3.9526E-01	7.5247E-01	0.013644689004	1.4225E00	5.1719E-01	1.81332E00
8.0000E02	3.2000E-02	2.4704E-01	6.4142E-01	0.011842088466	1.4536E00	5.4224E-01	1.84623E00
8.0000E02	5.0000E-02	1.5810E-01	5.4669E-01	0.009788867133	1.4201E00	4.2033E-01	1.79057E00
8.0000E02	8.0000E-02	9.8814E-02	4.5181E-01	0.008780430359	1.5628E00	4.7892E-01	1.94339E00
8.0000E02	1.3000E-01	6.0809E-02	3.7330E-01	0.00790712861	1.7999E00	4.9315E-01	2.11817E00
8.0000E02	1.8000E-01	4.3917E-02	3.2606E-01	0.01192629662	3.0712E00	1.6835E00	3.65770E00
8.0000E02	2.5000E-01	3.1621E-02	2.5374E-01	0.006414851688	2.1600E00	6.4484E-01	2.52812E00
8.0000E02	4.0000E-01	1.9763E-02	1.4051E-01	0.008928693899	4.7137E00	3.8518E00	6.35449E00
8.0000E02	6.5000E-01	1.2162E-02	1.5845E-02	0.00391862695	2.1200E01	1.2487E01	2.47310E01
1.0000E03	1.3000E-02	7.6011E-01	8.6202E-01	0.02952289197	2.7513E00	1.4987E00	3.42485E00
1.0000E03	2.0000E-02	4.9407E-01	7.6995E-01	0.020707112295	2.2974E00	9.6217E-01	2.68941E00
1.0000E03	3.2000E-02	3.0879E-01	6.5796E-01	0.018020340072	2.3199E00	1.0469E00	2.73882E00
1.0000E03	5.0000E-02	1.9763E-01	5.1651E-01	0.01567142991	2.4982E00	1.3763E00	3.03410E00
1.0000E03	8.0000E-02	1.2352E-01	4.4019E-01	0.013531132467	2.7164E00	1.0121E00	3.07393E00
1.0000E03	1.3000E-01	7.6011E-02	3.6865E-01	0.013320024935	3.2052E00	1.3028E00	3.61319E00
1.0000E03	1.8000E-01	5.4897E-02	3.4453E-01	0.012922872411	3.2337E00	1.5949E00	3.75087E00
1.0000E03	2.5000E-01	3.9526E-02	2.8083E-01	0.011880878229	3.5733E00	1.9706E00	4.23063E00
1.0000E03	4.0000E-01	2.4704E-02	1.3688E-01	0.009238400776	5.1319E00	4.0164E00	6.74927E00
1.2000E03	1.4000E-02	8.4698E-01	9.1602E-01	0.02285195094	1.9333E00	4.5577E-01	2.49470E00
1.2000E03	2.0000E-02	5.9289E-01	8.0103E-01	0.015738717543	1.6176E00	4.0455E-01	1.96481E00
1.2000E03	3.2000E-02	3.7055E-01	6.3869E-01	0.012309408501	1.5762E00	4.7861E-01	1.92729E00
1.2000E03	5.0000E-02	2.3715E-01	5.5735E-01	0.01012838714	1.4653E00	3.9342E-01	1.81724E00
1.2000E03	8.0000E-02	1.4822E-01	4.6241E-01	0.008633564628	1.5251E00	3.9402E-01	1.86708E00
1.2000E03	1.3000E-01	9.1213E-02	3.7632E-01	0.007807021824	1.7725E00	3.8445E-01	2.07457E00
1.2000E03	1.8000E-01	6.5876E-02	3.1918E-01	0.013448713136	3.7581E00	1.6012E00	4.21352E00
1.2000E03	2.5000E-01	4.7431E-02	2.4677E-01	0.005698092039	2.0051E00	5.1678E-01	2.30907E00
1.2000E03	4.0000E-01	2.9644E-02	1.2513E-01	0.005476902561	3.2534E00	1.1487E00	4.37697E00
1.5000E03	2.0000E-02	7.4111E-01	8.0501E-01	0.021554545255	2.1798E00	6.3545E-01	2.67755E00
1.5000E03	3.2000E-02	4.6319E-01	6.6054E-01	0.015020613546	2.0075E00	4.1155E-01	2.27399E00
1.5000E03	5.0000E-02	2.9644E-01	5.4454E-01	0.011715396922	1.8571E00	4.2268E-01	2.15143E00
1.5000E03	8.0000E-02	1.8528E-01	4.8967E-01	0.010382619911	1.8294E00	4.1193E-01	2.12033E00
1.5000E03	1.3000E-01	1.1402E-01	3.7787E-01	0.009899400473	2.3570E00	4.6441E-01	2.61979E00
1.5000E03	1.8000E-01	8.2345E-02	3.1308E-01	0.008569437912	2.4794E00	5.7428E-01	2.73714E00
1.5000E03	2.5000E-01	5.9289E-02	2.5961E-01	0.008076830554	2.8494E00	7.4215E-01	3.11114E00
1.5000E03	4.0000E-01	3.7055E-02	1.2966E-01	0.007093802328	4.3413E00	1.3890E00	5.47108E00
1.5000E03	6.5000E-01	2.2803E-02	1.5968E-02	0.002091281056	1.1096E01	6.3287E00	1.30967E01
2.0000E03	2.1900E-02	9.0241E-01	8.7821E-01	0.053967936562	5.5146E00	2.1888E00	6.14522E00
2.0000E03	3.2000E-02	6.1759E-01	6.5822E-01	0.017957031464	2.4072E00	5.5605E-01	2.72812E00
2.0000E03	5.0000E-02	3.9526E-01	5.6966E-01	0.014141980398	2.2421E00	3.9186E-01	2.48253E00
2.0000E03	8.0000E-02	2.4704E-01	4.6439E-01	0.011558434905	2.2358E00	4.3549E-01	2.48895E00
2.0000E03	1.3000E-01	1.5202E-01	3.7034E-01	0.010827963886	2.6934E00	5.3551E-01	2.92379E00
2.0000E03	1.8000E-01	1.0979E-01	3.1010E-01	0.00994735679	2.9390E00	6.9311E-01	3.20779E00
2.0000E03	2.5000E-01	7.9051E-02	2.5130E-01	0.00901862927	3.3459E00	8.0393E-01	3.58879E00
2.0000E03	4.0000E-01	4.9407E-02	1.2339E-01	0.006177495672	4.6026E00	1.5842E00	5.00648E00
2.0000E03	6.5000E-01	3.0404E-02	1.1157E-02	0.002005649262	1.5896E01	7.8282E00	1.79766E01
3.0000E03	3.2000E-02	9.2638E-01	7.3112E-01	0.031413155696	3.7608E00	1.7394E00	4.29658E00
3.0000E03	5.0000E-02	5.9289E-01	5.9879E-01	0.015891168052	2.3375E00	6.8991E-01	2.65388E00
3.0000E03	8.0000E-02	3.7055E-01	5.0755E-01	0.013230864155	2.3441E00	5.6100E-01	2.60681E00
3.0000E03	1.3000E-01	2.2803E-01	3.9384E-01	0.012076985448	2.8165E00	7.0908E-01	3.06647E00
3.0000E03	1.8000E-01	1.6469E-01	3.1678E-01	0.010684482552	3.1328E00	7.4568E-01	3.37284E00
3.0000E03	2.5000E-01	1.1858E-01	2.6471E-01	0.009902377564	3.3979E00	1.0181E00	3.74084E00
3.0000E03	4.0000E-01	7.4111E-02	1.3087E-01	0.006670823423	4.5968E00	1.8966E00	5.09729E00
3.0000E03	6.5000E-01	4.5607E-02	1.5162E-02	0.0014827996302	8.8210E00	3.7753E00	9.77971E00
